Divisao,Grupo,Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia
1,,1,Tecnologias de Informação,0,0,0,0,0,0,0,0,0
1,,2,EGI,0,0,0,0,0,0,0,0,0
1,,3,EET,0,0,0,0,0,0,0,0,0
1,,4,MTC,0,0,0,0,0,0,0,0,0
1,,5,Eng. Informática ,0,0,0,0,0,0,0,0,0
1,,6,Eng. Aeroespacial,0,0,0,0,0,0,0,0,0
1,,7,Biotecnologia,0,0,0,0,0,0,0,0,0
1,,8,Biologia,0,0,0,0,0,0,0,0,0
1,,9,Eng. Mecânica,0,0,0,0,0,0,0,0,0
1,,10,Matemática,0,0,0,0,0,0,0,0,0
1,,11,Eng. Materiais,0,0,0,0,0,0,0,0,0
1,,12,ECT,0,0,0,0,0,0,0,0,0
2,A,1,Contabilidade,0,0,0,0,0,0,0,0,0
2,A,2,Economia,0,0,0,0,0,0,0,0,0
2,A,3,Música,0,0,0,0,0,0,0,0,0
2,A,4,LRE,0,0,0,0,0,0,0,0,0
2,A,5,Biologia e Geologia,0,0,0,0,0,0,0,0,0
2,A,6,Física,0,0,0,0,0,0,0,0,0
2,A,7,Eng. Cívil,0,0,0,0,0,0,0,0,0
2,A,8,Design,0,0,0,0,0,0,0,0,0
2,A,9,GPT,0,0,0,0,0,0,0,0,0
2,B,1,Eng. Mecânica B,0,0,0,0,0,0,0,0,0
2,B,2,Gestão,0,0,0,0,0,0,0,0,0
2,B,3,Eng. Biomédica,0,0,0,0,0,0,0,0,0
2,B,4,Psicologia,0,0,0,0,0,0,0,0,0
2,B,5,Ciências do Mar,0,0,0,0,0,0,0,0,0
2,B,6,Administração Pública,0,0,0,0,0,0,0,0,0
2,B,7,Eng. Computacional,0,0,0,0,0,0,0,0,0
2,B,8,Eng. Física,0,0,0,0,0,0,0,0,0
2,B,9,LLC,0,0,0,0,0,0,0,0,0
