Divisao,Grupo,Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia,sets_ganhos,sets_perdidos,diferenca_sets
1,nan,1,EET,33,11,11,0,0,22,2,20,0,0,0,0
1,nan,2,EGI,27,11,9,0,2,20,4,16,0,0,0,0
1,nan,3,Eng. Informática ,24,11,8,0,3,16,8,8,0,0,0,0
1,nan,4,Música,21,11,7,0,4,15,13,2,1,0,0,0
1,nan,5,Design,21,11,7,0,4,17,8,9,0,0,0,0
1,nan,6,GPT,18,11,6,0,5,13,13,0,0,0,0,0
1,nan,7,DPT,12,11,4,0,7,9,16,-7,0,0,0,0
1,nan,8,TI,12,11,4,0,7,11,16,-5,0,0,0,0
1,nan,9,Biologia,12,11,4,0,7,8,16,-8,0,0,0,0
1,nan,10,ECT,9,11,3,0,8,10,16,-6,0,0,0,0
1,nan,11,Fisioterapia,6,11,2,0,9,8,19,-11,0,0,0,0
1,nan,12,Eng. Química,3,11,1,0,10,2,20,-18,0,0,0,0
2,A,1,Ciências do Mar,27,10,9,0,1,18,5,13,0,0,0,0
2,A,2,LRE,24,10,8,0,2,17,5,12,0,0,0,0
2,A,3,Eng. Física,24,11,8,0,3,19,6,13,0,0,0,0
2,A,4,Bioquímica,21,10,7,0,3,14,9,5,0,0,0,0
2,A,5,Gestao,15,10,5,0,5,10,10,0,0,0,0,0
2,A,6,Psicologia,15,10,5,0,5,11,11,0,0,0,0,0
2,A,7,Eng. Cívil,15,10,5,0,5,11,12,-1,1,0,0,0
2,A,8,AP,12,10,4,0,6,8,13,-5,1,0,0,0
2,A,9,Biotecnologia,9,10,3,0,7,6,16,-10,0,0,0,0
2,A,10,Eng. Informática B,3,10,1,0,9,6,19,-13,0,0,0,0
2,A,11,Matemática,3,10,1,0,9,7,19,-12,0,0,0,0
2,A,12,LLC,0,1,0,0,1,0,2,-2,1,0,0,0
2,B,1,Eng. Mecânica,30,10,10,0,0,20,0,20,0,0,0,0
2,B,2,Eng. Biomédica,21,10,7,0,3,15,8,7,0,0,0,0
2,B,3,CBM,21,10,7,0,3,14,7,7,0,0,0,0
2,B,4,Economia,18,10,6,0,4,12,9,3,0,0,0,0
2,B,5,Eng. Materiais,18,9,6,0,3,12,8,4,1,0,0,0
2,B,6,EET B,12,11,4,0,7,10,16,-6,0,0,0,0
2,B,7,MTC,12,9,4,0,5,9,12,-3,0,0,0,0
2,B,8,Eng. Computacional,9,10,3,0,7,8,16,-8,0,0,0,0
2,B,9,Física,9,10,3,0,7,10,14,-4,0,0,0,0
2,B,10,Eng. Ambiente,9,9,3,0,6,7,12,-5,1,0,0,0
2,B,11,Contabilidade,6,10,2,0,8,6,17,-11,0,0,0,0
2,B,12,Educaçao Básica,0,2,0,0,2,0,4,-4,2,0,0,0
