Divisao,Grupo,Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia
1,,1,Eng. Mecânica,27,10,9,0,1,35,14,21,0
1,,2,Finanças,23,11,7,2,2,43,28,15,0
1,,3,Eng. e Gestão Industrial,19,10,6,1,3,37,17,20,0
1,,4,Contabilidade,18,11,5,3,3,29,27,2,1
1,,5,Gestão e Planeamento em Turismo,17,10,5,2,3,29,18,11,0
1,,6,Bioquímica,17,10,5,2,3,32,26,6,0
1,,7,Fisioterapia,16,10,5,1,4,35,24,11,0
1,,8,Eng. Biomédica,13,10,3,4,3,38,30,8,0
1,,9,Eng. Química,12,10,3,3,4,30,30,0,0
1,,10,Enfermagem,9,10,3,0,7,27,35,-8,0
1,,11,Eng. Eletrónica e Telecomunicações,3,10,1,0,9,19,49,-30,0
1,,12,Eng. Física,0,10,0,0,10,8,64,-56,0
2,A,1,Eng. de Materiais,18,7,6,0,1,44,16,28,0
2,A,2,Eng. Informática,15,7,5,0,2,41,11,30,0
2,A,3,Música,15,7,5,0,2,22,18,4,0
2,A,4,Economia,12,7,4,0,3,36,20,16,0
2,A,5,Ciências do Mar,10,7,3,1,3,29,26,3,0
2,A,6,Psicologia,9,7,3,0,4,17,33,-16,0
2,A,7,Biologia e Geologia,7,7,2,1,4,24,31,-7,0
2,A,8,Automação e Sistemas de Produção,4,7,1,1,5,9,45,-36,1
2,A,9,Design,4,8,1,1,6,13,35,-22,1
2,B,1,Eng. e Gestão Industrial B,21,7,7,0,0,39,17,22,0
2,B,2,Eng. Computacional,18,7,6,0,1,41,15,26,0
2,B,3,Eng. do Ambiente,12,7,4,0,3,35,28,7,0
2,B,4,Gestão,12,6,4,0,2,38,14,24,0
2,B,5,Matemática,12,7,4,0,3,36,19,17,0
2,B,6,Línguas e Relações Empresariais,9,7,3,0,4,20,20,0,0
2,B,7,MOC,4,8,1,1,6,17,66,-49,0
2,B,8,Biologia,3,7,1,0,6,19,34,-15,0
2,B,9,Tradução,1,6,0,1,5,7,39,-32,0
2,C,1,Eng. Computadores e Telemática,20,8,6,2,0,54,14,40,0
2,C,2,Marketing,17,8,5,2,1,44,23,21,0
2,C,3,Gestão Pública,16,8,5,1,2,36,17,19,0
2,C,4,Eng. Aeroespacial,15,8,5,0,3,35,19,16,0
2,C,5,Ciências Biomédicas,13,8,4,1,3,30,21,9,0
2,C,6,Eng. Mecânica B,11,8,3,2,3,17,17,0,0
2,C,7,Eng. Civil,11,8,3,2,3,24,25,-1,0
2,C,8,Administração Pública,8,8,2,2,4,23,29,-6,0
2,C,9,MTC,3,8,1,0,7,14,49,-35,0
2,C,10,Biotecnologia,0,8,0,0,8,9,72,-63,0
