Divisao,Grupo,Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia
1,,1,Fisioterapia,10,4,3,1,0,10,4,6,0
1,,2,Eng. e Gestão Industrial,10,4,3,1,0,10,5,5,0
1,,3,Gestão e Planeamento em Turismo,9,4,3,0,1,12,8,4,0
1,,4,Economia,9,4,3,0,1,10,11,-1,0
1,,5,Finanças,7,4,2,1,1,14,9,5,0
1,,6,Biotecnologia,7,4,2,1,1,9,6,3,0
1,,7,Eng. Mecânica,6,4,2,0,2,10,6,4,0
1,,8,Contabilidade,6,4,2,0,2,8,7,1,0
1,,9,Eng. Computadores e Telemática,3,4,1,0,3,4,8,-4,0
1,,10,Eng. Eletrónica e Telecomunicações,3,4,1,0,3,8,8,0,0
1,,11,Administração Pública,0,4,0,0,4,4,11,-7,0
1,,12,Eng. Biomédica,0,4,0,0,4,6,22,-16,0
2,A,1,Eng. de Materiais,12,4,4,0,0,23,3,20,0
2,A,2,Tecnologias de Informação,7,3,2,1,0,10,3,7,0
2,A,3,Eng. Computacional,6,4,2,0,2,12,11,1,0
2,A,4,Eng. Informática,4,4,1,1,2,9,10,-1,0
2,A,5,Geologia,4,3,1,1,1,9,16,-7,0
2,A,6,Eng. Mecânica B,4,2,1,1,0,8,1,7,0
2,A,7,Biologia,0,3,0,0,3,3,16,-13,0
2,A,8,Eng. Física,0,3,0,0,3,1,15,-14,0
2,B,1,Eng. Química,12,4,4,0,0,20,2,18,0
2,B,2,Gestão,9,3,3,0,0,21,0,21,0
2,B,3,Eng. Civil,9,3,3,0,0,15,6,9,0
2,B,4,Ciências Biomédicas,3,2,1,0,1,9,6,3,0
2,B,5,Matemática,3,3,1,0,2,4,10,-6,0
2,B,6,MTC,3,3,1,0,2,3,15,-12,0
2,B,7,Biologia e Geologia,1,3,0,1,2,6,11,-5,0
2,B,8,Música,1,4,0,1,3,6,17,-11,0
2,B,9,Marketing,0,3,0,0,3,1,18,-17,0
