Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisao,Grupo,Fonte_Data,Fonte_Local,Data_Placeholder,Local_Placeholder,Falta de Comparência,Elo Antes 1,Elo Antes 2,Season Phase 1,Season Phase 2,Proportional Multiplier,K Factor 1,K Factor 2,Elo Change 1,Elo Change 2,Elo Delta 1,Elo Delta 2,Elo Depois 1,Elo Depois 2,Has Absence,Was In Previous Season 1,Was In Previous Season 2,Inter Group Adjustment 1,Inter Group Adjustment 2,Final Elo 1,Final Elo 2
1,2025-10-20 00:00:00,21h00,Sintético,Eng. Informática,1.0,4.0,Tecnologias de Informação,2.0,A,Excel,Excel,False,False,,701,510,2.0,2.0,1.148698354997035,229.73967099940702,229.73967099940702,-0.8531063060491563,0.8531063060491563,-196,196,505,706,False,True,True,0,0,505,706
1,2025-10-20 00:00:00,22h00,Sintético,Eng. Civil,4.0,3.0,Ciências Biomédicas,2.0,B,Excel,Excel,False,False,,860,548,2.0,2.0,1.0291860089647606,205.83720179295213,205.83720179295213,0.053472820155875955,-0.05347282015587596,11,-11,871,537,False,True,True,0,0,871,537
1,2025-10-20 00:00:00,23h00,Sintético,Fisioterapia,1.0,1.0,Biotecnologia,1.0,,Excel,Excel,False,False,,1047,999,2.0,2.0,1.0,200.0,200.0,-0.10875843257249584,0.10875843257249584,-22,22,1025,1021,False,True,True,0,0,1025,1021
1,2025-10-21 00:00:00,21h00,Sintético,Gestão e Planeamento em Turismo,2.0,0.0,Administração Pública,1.0,,Excel,Excel,False,False,,1144,690,2.0,2.0,1.148698354997035,229.73967099940702,229.73967099940702,0.015045825656470835,-0.0150458256564708,3,-3,1147,687,False,True,True,0,0,1147,687
1,2025-10-21 00:00:00,22h00,Sintético,Eng. Computadores e Telemática,1.0,2.0,Economia,1.0,,Excel,Excel,False,False,,868,851,2.0,2.0,1.0717734625362931,214.35469250725862,214.35469250725862,-0.5390641711450747,0.5390641711450745,-116,116,752,967,False,True,True,0,0,752,967
1,2025-10-22 00:00:00,20h00,Sintético,Biologia,1.0,5.0,Geologia,2.0,A,Excel,Excel,False,False,,399,553,2.0,2.0,1.174618943088019,234.9237886176038,234.9237886176038,-0.19491372555580183,0.1949137255558019,-46,46,353,599,False,True,True,0,0,353,599
1,2025-10-22 00:00:00,22h00,Sintético,Eng. e Gestão Industrial,2.0,1.0,Eng. Eletrónica e Telecomunicações,1.0,,Excel,Excel,False,False,,1338,1040,2.0,2.0,1.0717734625362931,214.35469250725862,214.35469250725862,0.06038772670847825,-0.060387726708478376,13,-13,1351,1027,False,True,True,0,0,1351,1027
1,2025-10-22 00:00:00,23h00,Sintético,Contabilidade,1.0,2.0,Eng. Mecânica,1.0,,Excel,Excel,False,False,,699,1171,2.0,2.0,1.0717734625362931,214.35469250725862,214.35469250725862,-0.01277660413510481,0.012776604135104841,-3,3,696,1174,False,True,True,0,0,696,1174
1,2025-10-23 00:00:00,21h00,Sintético,Marketing,1.0,3.0,Matemática,2.0,B,Excel,Excel,False,False,,500,386,2.0,2.0,1.1161231740339044,223.22463480678087,223.22463480678087,-0.7407708286413635,0.7407708286413635,-165,165,335,551,False,False,True,0,0,335,551
1,2025-10-23 00:00:00,22h00,Sintético,Gestão,7.0,0.0,Música,2.0,B,Excel,Excel,False,False,,836,356,2.0,2.0,1.3020054543174677,260.40109086349355,260.40109086349355,0.011879817525171532,-0.011879817525171548,3,-3,839,353,False,True,True,0,0,839,353
