team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place_in_group,expected_place_in_group_std,avg_final_elo,avg_final_elo_std
Biologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.00,0.00,10.00,0.00,680.0,0.0
Design,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.00,0.00,8.00,0.00,749.0,0.0
Economia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.00,0.00,11.00,0.00,647.0,0.0
Eng. Civil,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.00,0.00,6.00,0.00,685.0,0.0
Eng. Computadores e Telemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,13.00,0.00,448.0,0.0
Eng. Eletrónica e Telecomunicações,100.0000,100.0000,45.8100,21.1800,0.0000,0.0000,12.00,0.00,5.00,0.00,912.0,0.0
Eng. Física,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.00,0.00,12.00,0.00,501.0,0.0
Eng. Mecânica,100.0000,100.0000,45.1700,24.3800,0.0000,0.0000,18.00,0.00,3.00,0.00,977.0,0.0
Eng. e Gestão Industrial,100.0000,100.0000,54.8300,29.2500,0.0000,0.0000,21.00,0.00,2.00,0.00,1094.0,0.0
Fisioterapia,100.0000,100.0000,54.1900,25.1900,0.0000,0.0000,21.00,0.00,1.00,0.00,1006.0,0.0
MTC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.00,0.00,4.00,0.00,836.0,0.0
Psicologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.00,0.00,9.00,0.00,713.0,0.0
Tradução,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.00,0.00,7.00,0.00,661.0,0.0
