team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place_in_group,expected_place_in_group_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.00,0.00,4.00,0.00,510.0,0.0
Biologia,100.0000,84.7640,48.6100,12.4650,0.0000,0.0000,26.57,0.68,3.27,0.44,1178.2,69.8
Biologia e Geologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.00,0.00,7.00,0.00,523.0,0.0
Bioquímica,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.00,0.00,3.00,0.00,554.0,0.0
Ciências Biomédicas,100.0000,78.5520,37.0330,8.7740,0.0000,0.0000,24.43,0.68,3.76,0.49,1137.8,69.8
Ciências Biomédicas B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.00,0.00,9.00,0.00,470.0,0.0
Contabilidade,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.00,0.00,7.00,0.00,561.0,0.0
Design,100.0000,3.3020,1.5800,0.4220,0.0000,0.0000,15.00,0.00,6.75,0.43,999.0,0.0
Economia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.00,0.00,12.00,0.00,236.0,0.0
Educação Básica,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.00,0.00,11.00,0.00,168.0,0.0
Eng. Biomédica,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,1.00,0.00,11.00,0.00,593.0,0.0
Eng. Civil,100.0000,9.5670,2.2310,0.3100,0.0000,12.5460,18.01,2.22,5.85,1.06,813.6,126.4
Eng. Computadores e Telemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.00,0.00,10.00,0.00,271.0,0.0
Eng. Eletrónica e Telecomunicações,0.0000,0.0000,0.0000,0.0000,99.7360,0.0000,31.13,0.37,1.12,0.33,1213.9,52.2
Eng. Física,0.0000,0.0000,0.0000,0.0000,21.0350,0.0000,26.13,1.71,2.44,0.70,684.1,122.6
Eng. Informática,100.0000,24.2600,10.6700,2.4160,0.0000,0.0000,17.87,0.37,5.49,0.55,1011.1,52.2
Eng. Mecânica,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.00,0.00,5.00,0.00,636.0,0.0
Eng. Química,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.00,0.00,6.00,0.00,591.0,0.0
Eng. de Materiais,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,6.00,0.00,10.00,0.00,643.0,0.0
Eng. do Ambiente,0.0000,0.0000,0.0000,0.0000,31.3130,0.0000,28.03,0.00,1.75,0.43,778.0,0.0
Eng. e Gestão Industrial,100.0000,99.5550,50.3490,38.1060,0.0000,0.0000,32.99,0.00,2.00,0.00,1343.0,0.0
Fisioterapia,100.0000,100.0000,49.5270,37.5070,0.0000,0.0000,34.97,0.00,1.00,0.00,1343.0,0.0
Geologia,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,9.00,0.00,9.00,0.00,777.0,0.0
Gestão,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.01,0.00,2.44,0.50,736.0,0.0
Gestão Comercial,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.00,0.00,9.00,0.00,326.0,0.0
Gestão e Planeamento em Turismo,100.0000,0.0000,0.0000,0.0000,0.0000,15.1150,10.00,0.00,7.87,0.33,885.0,0.0
Línguas e Relações Empresariais,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.00,0.00,5.00,0.00,480.0,0.0
"Línguas, Literaturas e Culturas",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.00,0.00,4.00,0.00,607.0,0.0
MTC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.00,0.00,6.00,0.00,433.0,0.0
Marketing,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.00,0.00,10.00,0.00,254.0,0.0
Matemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.00,0.00,11.00,0.00,308.0,0.0
Música,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.00,0.00,8.00,0.00,469.0,0.0
Psicologia,0.0000,0.0000,0.0000,0.0000,75.5770,0.0000,31.86,2.34,1.25,0.43,753.8,128.2
Tradução,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.00,0.00,8.00,0.00,400.0,0.0
